,survived,pclass,sex,age,fare,adult,pclass_2
147,0,3,female,9.0,34.375,False,third
148,0,2,male,36.5,26.0,True,second
149,0,2,male,42.0,13.0,True,second
150,0,2,male,51.0,12.525,True,second
151,1,1,female,22.0,66.6,True,first
152,0,3,male,55.5,8.05,True,third
153,0,3,male,40.5,14.5,True,third
154,0,3,male,,7.3125,False,third
155,0,1,male,51.0,61.3792,True,first
156,1,3,female,16.0,7.7333,False,third
157,0,3,male,30.0,8.05,True,third
158,0,3,male,,8.6625,False,third
159,0,3,male,,69.55,False,third
160,0,3,male,44.0,16.1,True,third
161,1,2,female,40.0,15.75,True,second
162,0,3,male,26.0,7.775,True,third
163,0,3,male,17.0,8.6625,False,third
164,0,3,male,1.0,39.6875,False,third
165,1,3,male,9.0,20.525,False,third
166,1,1,female,,55.0,False,first
167,0,3,female,45.0,27.9,True,third
168,0,1,male,,25.925,False,first
169,0,3,male,28.0,56.4958,True,third
170,0,1,male,61.0,33.5,True,first
171,0,3,male,4.0,29.125,False,third
172,1,3,female,1.0,11.1333,False,third
173,0,3,male,21.0,7.925,True,third
174,0,1,male,56.0,30.6958,True,first
175,0,3,male,18.0,7.8542,True,third
176,0,3,male,,25.4667,False,third
177,0,1,female,50.0,28.7125,True,first
178,0,2,male,30.0,13.0,True,second
179,0,3,male,36.0,0.0,True,third
180,0,3,female,,69.55,False,third
181,0,2,male,,15.05,False,second
182,0,3,male,9.0,31.3875,False,third
183,1,2,male,1.0,39.0,False,second
184,1,3,female,4.0,22.025,False,third
185,0,1,male,,50.0,False,first
186,1,3,female,,15.5,False,third
187,1,1,male,45.0,26.55,True,first
188,0,3,male,40.0,15.5,True,third
189,0,3,male,36.0,7.8958,True,third
190,1,2,female,32.0,13.0,True,second
191,0,2,male,19.0,13.0,True,second
192,1,3,female,19.0,7.8542,True,third
193,1,2,male,3.0,26.0,False,second
194,1,1,female,44.0,27.7208,True,first
195,1,1,female,58.0,146.5208,True,first
196,0,3,male,,7.75,False,third
197,0,3,male,42.0,8.4042,True,third
198,1,3,female,,7.75,False,third
199,0,2,female,24.0,13.0,True,second
200,0,3,male,28.0,9.5,True,third
201,0,3,male,,69.55,False,third
202,0,3,male,34.0,6.4958,True,third
203,0,3,male,45.5,7.225,True,third
204,1,3,male,18.0,8.05,True,third
205,0,3,female,2.0,10.4625,False,third
206,0,3,male,32.0,15.85,True,third
207,1,3,male,26.0,18.7875,True,third
208,1,3,female,16.0,7.75,False,third
209,1,1,male,40.0,31.0,True,first
210,0,3,male,24.0,7.05,True,third
211,1,2,female,35.0,21.0,True,second
212,0,3,male,22.0,7.25,True,third
213,0,2,male,30.0,13.0,True,second
214,0,3,male,,7.75,False,third
215,1,1,female,31.0,113.275,True,first
216,1,3,female,27.0,7.925,True,third
217,0,2,male,42.0,27.0,True,second
218,1,1,female,32.0,76.2917,True,first
219,0,2,male,30.0,10.5,True,second
220,1,3,male,16.0,8.05,False,third
221,0,2,male,27.0,13.0,True,second
222,0,3,male,51.0,8.05,True,third
223,0,3,male,,7.8958,False,third
224,1,1,male,38.0,90.0,True,first
225,0,3,male,22.0,9.35,True,third
226,1,2,male,19.0,10.5,True,second
227,0,3,male,20.5,7.25,True,third
228,0,2,male,18.0,13.0,True,second
229,0,3,female,,25.4667,False,third
230,1,1,female,35.0,83.475,True,first
231,0,3,male,29.0,7.775,True,third
232,0,2,male,59.0,13.5,True,second
233,1,3,female,5.0,31.3875,False,third
234,0,2,male,24.0,10.5,True,second
235,0,3,female,,7.55,False,third
236,0,2,male,44.0,26.0,True,second
237,1,2,female,8.0,26.25,False,second
238,0,2,male,19.0,10.5,True,second
239,0,2,male,33.0,12.275,True,second
240,0,3,female,,14.4542,False,third
241,1,3,female,,15.5,False,third
242,0,2,male,29.0,10.5,True,second
243,0,3,male,22.0,7.125,True,third
244,0,3,male,30.0,7.225,True,third
245,0,1,male,44.0,90.0,True,first
246,0,3,female,25.0,7.775,True,third
247,1,2,female,24.0,14.5,True,second
248,1,1,male,37.0,52.5542,True,first
249,0,2,male,54.0,26.0,True,second
250,0,3,male,,7.25,False,third
251,0,3,female,29.0,10.4625,True,third
252,0,1,male,62.0,26.55,True,first
253,0,3,male,30.0,16.1,True,third
254,0,3,female,41.0,20.2125,True,third
255,1,3,female,29.0,15.2458,True,third
256,1,1,female,,79.2,False,first
257,1,1,female,30.0,86.5,True,first
258,1,1,female,35.0,512.3292,True,first
259,1,2,female,50.0,26.0,True,second
260,0,3,male,,7.75,False,third
261,1,3,male,3.0,31.3875,False,third
262,0,1,male,52.0,79.65,True,first
263,0,1,male,40.0,0.0,True,first
264,0,3,female,,7.75,False,third
265,0,2,male,36.0,10.5,True,second
266,0,3,male,16.0,39.6875,False,third
267,1,3,male,25.0,7.775,True,third
268,1,1,female,58.0,153.4625,True,first
269,1,1,female,35.0,135.6333,True,first
270,0,1,male,,31.0,False,first
271,1,3,male,25.0,0.0,True,third
272,1,2,female,41.0,19.5,True,second
273,0,1,male,37.0,29.7,True,first
274,1,3,female,,7.75,False,third
275,1,1,female,63.0,77.9583,True,first
276,0,3,female,45.0,7.75,True,third
277,0,2,male,,0.0,False,second
278,0,3,male,7.0,29.125,False,third
279,1,3,female,35.0,20.25,True,third
280,0,3,male,65.0,7.75,True,third
281,0,3,male,28.0,7.8542,True,third
282,0,3,male,16.0,9.5,False,third
283,1,3,male,19.0,8.05,True,third
284,0,1,male,,26.0,False,first
285,0,3,male,33.0,8.6625,True,third
286,1,3,male,30.0,9.5,True,third
287,0,3,male,22.0,7.8958,True,third
288,1,2,male,42.0,13.0,True,second
289,1,3,female,22.0,7.75,True,third
290,1,1,female,26.0,78.85,True,first
291,1,1,female,19.0,91.0792,True,first
292,0,2,male,36.0,12.875,True,second
293,0,3,female,24.0,8.85,True,third
294,0,3,male,24.0,7.8958,True,third
295,0,1,male,,27.7208,False,first
296,0,3,male,23.5,7.2292,True,third
297,0,1,female,2.0,151.55,False,first
298,1,1,male,,30.5,False,first
299,1,1,female,50.0,247.5208,True,first
300,1,3,female,,7.75,False,third
301,1,3,male,,23.25,False,third
302,0,3,male,19.0,0.0,True,third
303,1,2,female,,12.35,False,second
304,0,3,male,,8.05,False,third
305,1,1,male,0.92,151.55,False,first
306,1,1,female,,110.8833,False,first
307,1,1,female,17.0,108.9,False,first
308,0,2,male,30.0,24.0,True,second
309,1,1,female,30.0,56.9292,True,first
310,1,1,female,24.0,83.1583,True,first
311,1,1,female,18.0,262.375,True,first
312,0,2,female,26.0,26.0,True,second
313,0,3,male,28.0,7.8958,True,third
314,0,2,male,43.0,26.25,True,second
315,1,3,female,26.0,7.8542,True,third
316,1,2,female,24.0,26.0,True,second
317,0,2,male,54.0,14.0,True,second
318,1,1,female,31.0,164.8667,True,first
319,1,1,female,40.0,134.5,True,first
320,0,3,male,22.0,7.25,True,third
321,0,3,male,27.0,7.8958,True,third
322,1,2,female,30.0,12.35,True,second
323,1,2,female,22.0,29.0,True,second
324,0,3,male,,69.55,False,third
325,1,1,female,36.0,135.6333,True,first
326,0,3,male,61.0,6.2375,True,third
327,1,2,female,36.0,13.0,True,second
328,1,3,female,31.0,20.525,True,third
329,1,1,female,16.0,57.9792,False,first
330,1,3,female,,23.25,False,third
331,0,1,male,45.5,28.5,True,first
332,0,1,male,38.0,153.4625,True,first
333,0,3,male,16.0,18.0,False,third
334,1,1,female,,133.65,False,first
335,0,3,male,,7.8958,False,third
336,0,1,male,29.0,66.6,True,first
337,1,1,female,41.0,134.5,True,first
338,1,3,male,45.0,8.05,True,third
339,0,1,male,45.0,35.5,True,first
340,1,2,male,2.0,26.0,False,second
341,1,1,female,24.0,263.0,True,first
342,0,2,male,28.0,13.0,True,second
343,0,2,male,25.0,13.0,True,second
344,0,2,male,36.0,13.0,True,second
345,1,2,female,24.0,13.0,True,second
346,1,2,female,40.0,13.0,True,second
347,1,3,female,,16.1,False,third
348,1,3,male,3.0,15.9,False,third
349,0,3,male,42.0,8.6625,True,third
350,0,3,male,23.0,9.225,True,third
351,0,1,male,,35.0,False,first
352,0,3,male,15.0,7.2292,False,third
353,0,3,male,25.0,17.8,True,third
354,0,3,male,,7.225,False,third
355,0,3,male,28.0,9.5,True,third
356,1,1,female,22.0,55.0,True,first
357,0,2,female,38.0,13.0,True,second
358,1,3,female,,7.8792,False,third
359,1,3,female,,7.8792,False,third
360,0,3,male,40.0,27.9,True,third
361,0,2,male,29.0,27.7208,True,second
362,0,3,female,45.0,14.4542,True,third
363,0,3,male,35.0,7.05,True,third
364,0,3,male,,15.5,False,third
365,0,3,male,30.0,7.25,True,third
366,1,1,female,60.0,75.25,True,first
367,1,3,female,,7.2292,False,third
368,1,3,female,,7.75,False,third
369,1,1,female,24.0,69.3,True,first
370,1,1,male,25.0,55.4417,True,first
371,0,3,male,18.0,6.4958,True,third
372,0,3,male,19.0,8.05,True,third
373,0,1,male,22.0,135.6333,True,first
374,0,3,female,3.0,21.075,False,third
375,1,1,female,,82.1708,False,first
376,1,3,female,22.0,7.25,True,third
377,0,1,male,27.0,211.5,True,first
378,0,3,male,20.0,4.0125,True,third
379,0,3,male,19.0,7.775,True,third
380,1,1,female,42.0,227.525,True,first
381,1,3,female,1.0,15.7417,False,third
382,0,3,male,32.0,7.925,True,third
383,1,1,female,35.0,52.0,True,first
384,0,3,male,,7.8958,False,third
385,0,2,male,18.0,73.5,True,second
386,0,3,male,1.0,46.9,False,third
387,1,2,female,36.0,13.0,True,second
388,0,3,male,,7.7292,False,third
389,1,2,female,17.0,12.0,False,second
390,1,1,male,36.0,120.0,True,first
391,1,3,male,21.0,7.7958,True,third
392,0,3,male,28.0,7.925,True,third
393,1,1,female,23.0,113.275,True,first
394,1,3,female,24.0,16.7,True,third
395,0,3,male,22.0,7.7958,True,third
396,0,3,female,31.0,7.8542,True,third
397,0,2,male,46.0,26.0,True,second
398,0,2,male,23.0,10.5,True,second
399,1,2,female,28.0,12.65,True,second
400,1,3,male,39.0,7.925,True,third
401,0,3,male,26.0,8.05,True,third
402,0,3,female,21.0,9.825,True,third
403,0,3,male,28.0,15.85,True,third
404,0,3,female,20.0,8.6625,True,third
405,0,2,male,34.0,21.0,True,second
406,0,3,male,51.0,7.75,True,third
407,1,2,male,3.0,18.75,False,second
408,0,3,male,21.0,7.775,True,third
409,0,3,female,,25.4667,False,third
410,0,3,male,,7.8958,False,third
411,0,3,male,,6.8583,False,third
412,1,1,female,33.0,90.0,True,first
413,0,2,male,,0.0,False,second
414,1,3,male,44.0,7.925,True,third
415,0,3,female,,8.05,False,third
416,1,2,female,34.0,32.5,True,second
417,1,2,female,18.0,13.0,True,second
418,0,2,male,30.0,13.0,True,second
419,0,3,female,10.0,24.15,False,third
420,0,3,male,,7.8958,False,third
421,0,3,male,21.0,7.7333,True,third
422,0,3,male,29.0,7.875,True,third
423,0,3,female,28.0,14.4,True,third
424,0,3,male,18.0,20.2125,True,third
425,0,3,male,,7.25,False,third
426,1,2,female,28.0,26.0,True,second
427,1,2,female,19.0,26.0,True,second
428,0,3,male,,7.75,False,third
429,1,3,male,32.0,8.05,True,third
430,1,1,male,28.0,26.55,True,first
431,1,3,female,,16.1,False,third
432,1,2,female,42.0,26.0,True,second
433,0,3,male,17.0,7.125,False,third
434,0,1,male,50.0,55.9,True,first
435,1,1,female,14.0,120.0,False,first
436,0,3,female,21.0,34.375,True,third
437,1,2,female,24.0,18.75,True,second
438,0,1,male,64.0,263.0,True,first
439,0,2,male,31.0,10.5,True,second
440,1,2,female,45.0,26.25,True,second
441,0,3,male,20.0,9.5,True,third
442,0,3,male,25.0,7.775,True,third
443,1,2,female,28.0,13.0,True,second
444,1,3,male,,8.1125,False,third
445,1,1,male,4.0,81.8583,False,first
446,1,2,female,13.0,19.5,False,second
447,1,1,male,34.0,26.55,True,first
448,1,3,female,5.0,19.2583,False,third
449,1,1,male,52.0,30.5,True,first
450,0,2,male,36.0,27.75,True,second
451,0,3,male,,19.9667,False,third
452,0,1,male,30.0,27.75,True,first
453,1,1,male,49.0,89.1042,True,first
454,0,3,male,,8.05,False,third
455,1,3,male,29.0,7.8958,True,third
456,0,1,male,65.0,26.55,True,first
457,1,1,female,,51.8625,False,first
458,1,2,female,50.0,10.5,True,second
459,0,3,male,,7.75,False,third
460,1,1,male,48.0,26.55,True,first
461,0,3,male,34.0,8.05,True,third
462,0,1,male,47.0,38.5,True,first
463,0,2,male,48.0,13.0,True,second
464,0,3,male,,8.05,False,third
465,0,3,male,38.0,7.05,True,third
466,0,2,male,,0.0,False,second
467,0,1,male,56.0,26.55,True,first
468,0,3,male,,7.725,False,third
469,1,3,female,0.75,19.2583,False,third
470,0,3,male,,7.25,False,third
471,0,3,male,38.0,8.6625,True,third
472,1,2,female,33.0,27.75,True,second
473,1,2,female,23.0,13.7917,True,second
474,0,3,female,22.0,9.8375,True,third
475,0,1,male,,52.0,False,first
476,0,2,male,34.0,21.0,True,second
477,0,3,male,29.0,7.0458,True,third
478,0,3,male,22.0,7.5208,True,third
479,1,3,female,2.0,12.2875,False,third
480,0,3,male,9.0,46.9,False,third
481,0,2,male,,0.0,False,second
482,0,3,male,50.0,8.05,True,third
483,1,3,female,63.0,9.5875,True,third
484,1,1,male,25.0,91.0792,True,first
485,0,3,female,,25.4667,False,third
486,1,1,female,35.0,90.0,True,first
487,0,1,male,58.0,29.7,True,first
488,0,3,male,30.0,8.05,True,third
489,1,3,male,9.0,15.9,False,third
490,0,3,male,,19.9667,False,third
491,0,3,male,21.0,7.25,True,third
492,0,1,male,55.0,30.5,True,first
493,0,1,male,71.0,49.5042,True,first
494,0,3,male,21.0,8.05,True,third
495,0,3,male,,14.4583,False,third
496,1,1,female,54.0,78.2667,True,first
497,0,3,male,,15.1,False,third
498,0,1,female,25.0,151.55,True,first
499,0,3,male,24.0,7.7958,True,third
500,0,3,male,17.0,8.6625,False,third
501,0,3,female,21.0,7.75,True,third
502,0,3,female,,7.6292,False,third
503,0,3,female,37.0,9.5875,True,third
504,1,1,female,16.0,86.5,False,first
505,0,1,male,18.0,108.9,True,first
506,1,2,female,33.0,26.0,True,second
507,1,1,male,,26.55,False,first
508,0,3,male,28.0,22.525,True,third
509,1,3,male,26.0,56.4958,True,third
510,1,3,male,29.0,7.75,True,third
511,0,3,male,,8.05,False,third
512,1,1,male,36.0,26.2875,True,first
513,1,1,female,54.0,59.4,True,first
514,0,3,male,24.0,7.4958,True,third
515,0,1,male,47.0,34.0208,True,first
516,1,2,female,34.0,10.5,True,second
517,0,3,male,,24.15,False,third
518,1,2,female,36.0,26.0,True,second
519,0,3,male,32.0,7.8958,True,third
520,1,1,female,30.0,93.5,True,first
521,0,3,male,22.0,7.8958,True,third
522,0,3,male,,7.225,False,third
523,1,1,female,44.0,57.9792,True,first
524,0,3,male,,7.2292,False,third
525,0,3,male,40.5,7.75,True,third
526,1,2,female,50.0,10.5,True,second
527,0,1,male,,221.7792,False,first
528,0,3,male,39.0,7.925,True,third
529,0,2,male,23.0,11.5,True,second
530,1,2,female,2.0,26.0,False,second
531,0,3,male,,7.2292,False,third
532,0,3,male,17.0,7.2292,False,third
533,1,3,female,,22.3583,False,third
534,0,3,female,30.0,8.6625,True,third
535,1,2,female,7.0,26.25,False,second
536,0,1,male,45.0,26.55,True,first
537,1,1,female,30.0,106.425,True,first
538,0,3,male,,14.5,False,third
539,1,1,female,22.0,49.5,True,first
540,1,1,female,36.0,71.0,True,first
541,0,3,female,9.0,31.275,False,third
542,0,3,female,11.0,31.275,False,third
543,1,2,male,32.0,26.0,True,second
544,0,1,male,50.0,106.425,True,first
545,0,1,male,64.0,26.0,True,first
546,1,2,female,19.0,26.0,True,second
547,1,2,male,,13.8625,False,second
548,0,3,male,33.0,20.525,True,third
549,1,2,male,8.0,36.75,False,second
550,1,1,male,17.0,110.8833,False,first
551,0,2,male,27.0,26.0,True,second
552,0,3,male,,7.8292,False,third
553,1,3,male,22.0,7.225,True,third
554,1,3,female,22.0,7.775,True,third
555,0,1,male,62.0,26.55,True,first
556,1,1,female,48.0,39.6,True,first
557,0,1,male,,227.525,False,first
558,1,1,female,39.0,79.65,True,first
559,1,3,female,36.0,17.4,True,third
560,0,3,male,,7.75,False,third
561,0,3,male,40.0,7.8958,True,third
562,0,2,male,28.0,13.5,True,second
563,0,3,male,,8.05,False,third
564,0,3,female,,8.05,False,third
565,0,3,male,24.0,24.15,True,third
566,0,3,male,19.0,7.8958,True,third
567,0,3,female,29.0,21.075,True,third
568,0,3,male,,7.2292,False,third
569,1,3,male,32.0,7.8542,True,third
570,1,2,male,62.0,10.5,True,second
571,1,1,female,53.0,51.4792,True,first
572,1,1,male,36.0,26.3875,True,first
573,1,3,female,,7.75,False,third
574,0,3,male,16.0,8.05,False,third
575,0,3,male,19.0,14.5,True,third
576,1,2,female,34.0,13.0,True,second
577,1,1,female,39.0,55.9,True,first
578,0,3,female,,14.4583,False,third
579,1,3,male,32.0,7.925,True,third
580,1,2,female,25.0,30.0,True,second
581,1,1,female,39.0,110.8833,True,first
582,0,2,male,54.0,26.0,True,second
583,0,1,male,36.0,40.125,True,first
584,0,3,male,,8.7125,False,third
585,1,1,female,18.0,79.65,True,first
586,0,2,male,47.0,15.0,True,second
587,1,1,male,60.0,79.2,True,first
588,0,3,male,22.0,8.05,True,third
589,0,3,male,,8.05,False,third
590,0,3,male,35.0,7.125,True,third
591,1,1,female,52.0,78.2667,True,first
592,0,3,male,47.0,7.25,True,third
593,0,3,female,,7.75,False,third
594,0,2,male,37.0,26.0,True,second
595,0,3,male,36.0,24.15,True,third
596,1,2,female,,33.0,False,second
597,0,3,male,49.0,0.0,True,third
598,0,3,male,,7.225,False,third
599,1,1,male,49.0,56.9292,True,first
600,1,2,female,24.0,27.0,True,second
601,0,3,male,,7.8958,False,third
602,0,1,male,,42.4,False,first
603,0,3,male,44.0,8.05,True,third
604,1,1,male,35.0,26.55,True,first
605,0,3,male,36.0,15.55,True,third
606,0,3,male,30.0,7.8958,True,third
607,1,1,male,27.0,30.5,True,first
608,1,2,female,22.0,41.5792,True,second
609,1,1,female,40.0,153.4625,True,first
610,0,3,female,39.0,31.275,True,third
611,0,3,male,,7.05,False,third
612,1,3,female,,15.5,False,third
613,0,3,male,,7.75,False,third
614,0,3,male,35.0,8.05,True,third
615,1,2,female,24.0,65.0,True,second
616,0,3,male,34.0,14.4,True,third
617,0,3,female,26.0,16.1,True,third
618,1,2,female,4.0,39.0,False,second
619,0,2,male,26.0,10.5,True,second
620,0,3,male,27.0,14.4542,True,third
621,1,1,male,42.0,52.5542,True,first
622,1,3,male,20.0,15.7417,True,third
623,0,3,male,21.0,7.8542,True,third
624,0,3,male,21.0,16.1,True,third
625,0,1,male,61.0,32.3208,True,first
626,0,2,male,57.0,12.35,True,second
627,1,1,female,21.0,77.9583,True,first
628,0,3,male,26.0,7.8958,True,third
629,0,3,male,,7.7333,False,third
630,1,1,male,80.0,30.0,True,first
631,0,3,male,51.0,7.0542,True,third
632,1,1,male,32.0,30.5,True,first
633,0,1,male,,0.0,False,first
634,0,3,female,9.0,27.9,False,third
635,1,2,female,28.0,13.0,True,second
636,0,3,male,32.0,7.925,True,third
637,0,2,male,31.0,26.25,True,second
638,0,3,female,41.0,39.6875,True,third
639,0,3,male,,16.1,False,third
640,0,3,male,20.0,7.8542,True,third
641,1,1,female,24.0,69.3,True,first
642,0,3,female,2.0,27.9,False,third
643,1,3,male,,56.4958,False,third
644,1,3,female,0.75,19.2583,False,third
645,1,1,male,48.0,76.7292,True,first
646,0,3,male,19.0,7.8958,True,third
647,1,1,male,56.0,35.5,True,first
648,0,3,male,,7.55,False,third
649,1,3,female,23.0,7.55,True,third
650,0,3,male,,7.8958,False,third
651,1,2,female,18.0,23.0,True,second
652,0,3,male,21.0,8.4333,True,third
653,1,3,female,,7.8292,False,third
654,0,3,female,18.0,6.75,True,third
655,0,2,male,24.0,73.5,True,second
656,0,3,male,,7.8958,False,third
657,0,3,female,32.0,15.5,True,third
658,0,2,male,23.0,13.0,True,second
659,0,1,male,58.0,113.275,True,first
660,1,1,male,50.0,133.65,True,first
661,0,3,male,40.0,7.225,True,third
662,0,1,male,47.0,25.5875,True,first
663,0,3,male,36.0,7.4958,True,third
664,1,3,male,20.0,7.925,True,third
665,0,2,male,32.0,73.5,True,second
666,0,2,male,25.0,13.0,True,second
667,0,3,male,,7.775,False,third
668,0,3,male,43.0,8.05,True,third
669,1,1,female,,52.0,False,first
670,1,2,female,40.0,39.0,True,second
671,0,1,male,31.0,52.0,True,first
672,0,2,male,70.0,10.5,True,second
673,1,2,male,31.0,13.0,True,second
674,0,2,male,,0.0,False,second
675,0,3,male,18.0,7.775,True,third
676,0,3,male,24.5,8.05,True,third
677,1,3,female,18.0,9.8417,True,third
678,0,3,female,43.0,46.9,True,third
679,1,1,male,36.0,512.3292,True,first
680,0,3,female,,8.1375,False,third
681,1,1,male,27.0,76.7292,True,first
682,0,3,male,20.0,9.225,True,third
683,0,3,male,14.0,46.9,False,third
684,0,2,male,60.0,39.0,True,second
685,0,2,male,25.0,41.5792,True,second
686,0,3,male,14.0,39.6875,False,third
687,0,3,male,19.0,10.1708,True,third
688,0,3,male,18.0,7.7958,True,third
689,1,1,female,15.0,211.3375,False,first
690,1,1,male,31.0,57.0,True,first
691,1,3,female,4.0,13.4167,False,third
692,1,3,male,,56.4958,False,third
693,0,3,male,25.0,7.225,True,third
694,0,1,male,60.0,26.55,True,first
695,0,2,male,52.0,13.5,True,second
696,0,3,male,44.0,8.05,True,third
697,1,3,female,,7.7333,False,third
698,0,1,male,49.0,110.8833,True,first
699,0,3,male,42.0,7.65,True,third
700,1,1,female,18.0,227.525,True,first
701,1,1,male,35.0,26.2875,True,first
702,0,3,female,18.0,14.4542,True,third
703,0,3,male,25.0,7.7417,True,third
704,0,3,male,26.0,7.8542,True,third
705,0,2,male,39.0,26.0,True,second
706,1,2,female,45.0,13.5,True,second
